concept	score	numLangs	numRealizations
elf::NUM	-0.308841	103	107
reden::V	-0.320568	106	127
versprechen::V	-0.321625	102	114
Familie::N	-0.329355	107	132
schmücken::V	-0.330631	102	132
letzter::A	-0.335060	106	125
kratzen::V	-0.340778	101	126
rückwärts::ADV	-0.341419	105	116
schwanken::V	-0.344178	99	121
Genick::N	-0.344891	106	117
Erzählung::N	-0.345495	106	130
ansehen::V	-0.348210	103	114
verbessern::V	-0.348424	99	112
Platz::N	-0.349206	101	112
achtzig::NUM	-0.355653	103	106
Höhle::N	-0.359802	100	118
kräftig::A	-0.364709	106	128
leiten::V	-0.371896	99	128
Hahn::N	-0.382618	101	108
schwingen::V	-0.383429	100	131
Gewalt::N	-0.387143	93	108
sich rühren::V	-0.387168	102	115
Stamm::N	-0.387953	104	120
klopfen::V	-0.392148	107	133
malen::V	-0.392526	101	112
Festland::N	-0.393131	102	110
Entfernung::N	-0.394296	99	118
oft::ADV	-0.397972	106	126
flüchten::V	-0.400336	103	119
rauschen::V	-0.407995	91	106
einst::ADV	-0.411366	106	131
Falle::N	-0.411876	105	137
Dreck::N	-0.412997	106	130
Geschenk::N	-0.414350	106	132
Ski::N	-0.414428	101	105
wertvoll::A	-0.416036	104	124
Feind::N	-0.420012	104	120
Puppe::N	-0.425814	101	112
Figur::N	-0.432159	91	105
später::ADV	-0.433797	102	109
kehren::V	-0.434864	105	107
klug::A	-0.437563	104	143
begreifen::V	-0.442509	103	120
Ellenbogen::N	-0.443831	106	108
bewahren::V	-0.452355	99	118
Fenster::N	-0.458886	106	117
Hemd::N	-0.460393	104	109
Größe::N	-0.461526	97	114
Last::N	-0.461976	102	125
aufziehen::V	-0.465493	104	113
Anhöhe::N	-0.466956	100	133
mitteilen::V	-0.470104	103	128
sich drehen::V	-0.473695	102	118
abschneiden::V	-0.478726	107	128
fallen lassen::V	-0.479748	105	125
treffen::V	-0.481395	104	130
nackt::A	-0.481553	105	116
Hügel::N	-0.481831	106	141
ausziehen::V	-0.482710	103	118
Bach::N	-0.484698	104	120
Strömung::N	-0.489439	100	110
Ruf::N	-0.490531	95	114
ertragen::V	-0.491453	99	132
hinzufügen::V	-0.491771	101	113
Sumpf::N	-0.493922	105	122
schützen::V	-0.494972	102	122
Kragen::N	-0.499163	106	112
Krankheit::N	-0.501922	107	137
schenken::V	-0.504299	101	113
Atem::N	-0.506891	106	135
Geld::N	-0.507048	107	119
sich anziehen::V	-0.509286	102	109
linker::A	-0.512278	107	116
Busen::N	-0.516307	103	112
billig::A	-0.519286	104	111
zeichnen::V	-0.521588	102	116
bewachen::V	-0.523238	105	120
schleppen::V	-0.525092	106	117
Linie::N	-0.527575	101	115
nur::ADV	-0.533027	105	141
riechen::V	-0.534779	106	118
geschlossen::A	-0.536018	97	122
Wunsch::N	-0.539648	101	127
Hitze::N	-0.541652	106	130
reparieren::V	-0.543419	106	128
einschlafen::V	-0.545952	104	115
neben::PRP	-0.547088	103	134
Bett::N	-0.550388	107	128
Tisch::N	-0.550909	105	115
küssen::V	-0.551244	106	120
werfen::V	-0.554351	106	132
Wahrheit::N	-0.564448	107	127
Rohr::N	-0.567171	105	114
Glas::N	-0.569150	106	112
Süden::N	-0.570792	106	119
zusammen::ADV	-0.571647	106	147
Abstand::N	-0.574337	99	115
müde werden::V	-0.576751	103	122
Schmutz::N	-0.577517	106	134
Scheibe::N	-0.583365	101	125
Bündel::N	-0.585133	102	127
Mücke::N	-0.588323	107	118
lecker::A	-0.595373	104	123
Eichhörnchen::N	-0.598819	105	105
aufwachen::V	-0.598964	106	117
sauber::A	-0.602671	106	131
Gegenstand::N	-0.614553	101	111
sinken::V	-0.614616	98	118
Großvater::N	-0.615528	107	127
unterrichten::V	-0.617290	105	122
Apfel::N	-0.621588	102	104
ein wenig::ADV	-0.622977	105	133
reißen::V	-0.623679	105	126
verteidigen::V	-0.623868	102	112
erscheinen::V	-0.627745	105	125
Barsch::N	-0.631216	95	97
klein::A	-0.633289	107	131
zu sehen sein::V	-0.638833	97	102
Fußboden::N	-0.639618	104	111
klettern::V	-0.641110	101	114
Woche::N	-0.644704	104	109
rauchen::V	-0.644994	102	118
Kreis::N	-0.645730	103	124
Kiefer[Anatomie]::N	-0.647343	104	115
Mädchen::N	-0.647849	107	127
Chef::N	-0.647896	103	132
erster::A	-0.649889	106	119
danach::ADV	-0.652577	104	135
tanzen::V	-0.652985	107	124
stoßen::V	-0.656466	105	128
Pfad::N	-0.657681	104	121
Stadt::N	-0.660412	106	120
Strich::N	-0.665361	100	116
rechnen::V	-0.667109	104	118
